priority,subsystem,part_group,item,qty,reference_spec_or_target,sourcing_strategy,candidate_source,source_url,status,key_questions,notes
82,Brakes,Hydraulics,"Brake lines, hoses, proportioning valve",1 set,"DOT-compatible hard lines/flex lines, service loops","Use standard automotive brake plumbing and documented flare/fitting sizes","Honda Acty brake diagrams","https://honda-acty.com/parts-diagrams-ha4-honda-acty-1990-1999-models/",discovered,"What flare standard and fitting family should the project standardize?","Document routing away from HV and abrasion zones."
83,Brakes,Parking brake,Parking brake lever/cables,1 set,"Mechanical hold on grade; serviceable cable path","Use donor rear brake cables if axle is donor; custom cables later","Honda Acty brake diagrams","https://honda-acty.com/parts-diagrams-ha4-honda-acty-1990-1999-models/",discovered,"What grade-hold requirement and cable routing apply?","Include adjustment access."
84,Suspension,Front suspension,Control arms/struts/springs,1 set,"Simple geometry, serviceable bushings and ball joints","Use donor kei front suspension for first rolling mule or fabricate around common service parts","Honda Acty suspension diagrams","https://honda-acty.com/parts-diagrams-ha4-honda-acty-1990-1999-models/",discovered,"Which donor has easiest parts availability and compatible track width?","Suspension choice drives rack, brakes, wheels, and cab floor packaging."
85,Suspension,Rear suspension,Rear springs/dampers/links,1 set,"Payload-capable, simple mounts, predictable handling","Use donor live axle springs/dampers or fabricate leaf/coil mounts","Gold Star Parts mini truck parts","https://www.goldstarparts.com/",discovered,"Target payload and rear pack placement determine spring rate.","Do not pick springs before battery/bed mass is estimated."
86,Suspension,Service parts,"Bushings, ball joints, bearings, seals",1 set,"Replaceable wear items with part numbers","Favor donor components stocked by kei suppliers","Oiwa Garage kei truck parts","https://oiwagarage.co/",discovered,"Which wear parts are available new in the U.S. or by reliable import?","A clever suspension is a bad open-source choice if wear parts are obscure."
87,Wheels/tires,Wheels,Wheels,4 plus spare,"Common bolt pattern, load-rated, brake clearance","Use donor bolt pattern initially; final wheels must meet load and regulatory path","G&R Imports Daihatsu parts example","https://www.grimports.com/daihatsu-parts",discovered,"What bolt pattern, offset, center bore, load rating, and tire clearance are required?","Track spare tire storage early."
88,Wheels/tires,Tires,Tires,4 plus spare,"DOT road tires if road use; payload/load index documented","Use common small truck/passenger tire sizes rather than obscure ATV-only sizes","Gold Star Parts mini truck parts","https://www.goldstarparts.com/",discovered,"Which tire size balances load, gearing, brake clearance, and replacement availability?","Avoid off-road-only tire assumptions for a public-road path."
89,Compliance,Regulatory path,Low-speed vehicle equipment checklist,1 reference,"If LSV path is chosen: speed and equipment requirements from FMVSS 500","Use eCFR as authoritative baseline and state-by-state registration later","eCFR 49 CFR 571.500","https://www.ecfr.gov/current/title-49/subtitle-B/chapter-V/part-571/subpart-B/section-571.500",shortlisted,"Is the first public-road target LSV, off-road utility, kit, or full truck?","FMVSS 500 has required lamps, mirrors, reflectors, windshield, belts, VIN, and more."
90,Compliance,Lighting standard,Lamps and reflective devices,1 reference,"FMVSS 108 reference for road-use lighting","Use DOT/SAE lamps and confirm placement requirements","eCFR 49 CFR 571.108","https://www.ecfr.gov/current/title-49/subtitle-B/chapter-V/part-571/subpart-B/section-571.108",shortlisted,"Which requirements apply for selected vehicle classification?","This should drive lamp placement, not styling alone."
91,Compliance,Glazing standard,Automotive glazing evidence,1 reference,"DOT-marked glazing and supplier documentation","Require markings/documentation from glass source","NHTSA manufacturer handbook","https://vpic.nhtsa.dot.gov/documents/ManufacturerHandbook.pdf",discovered,"What glazing markings and certification evidence are needed for the chosen path?","Handbook notes DOT markings and manufacturer codes for glazing."
92,Compliance,Manufacturer path,VIN/manufacturer registration,1 reference,"Part 565 VIN and manufacturer portal workflow","Track only if project becomes a manufacturer rather than prototype design","NHTSA vPIC FAQ","https://vpic.nhtsa.dot.gov/mfrportal/home/faq",discovered,"Who would be the manufacturer of record for any road vehicle?","Legal path is explicitly not frozen in docs/01-vehicle-requirements.md."
93,Parts suppliers,Kei supplier,Honda Acty parts source,1 source,"Replacement parts, diagrams, model-specific categories","Use for Acty donor research and exact assembly names","Honda-Acty.com","https://honda-acty.com/",shortlisted,"Can they supply body, glass, steering, lighting, seat, and belt items in quantity or only maintenance parts?","Strong Acty-specific resource."
94,Parts suppliers,Kei supplier,Suzuki Carry parts source,1 source,"DA/DB Carry parts, manuals, electrical diagrams","Use for Suzuki donor research and replacement part pricing","Yokohama Motors Suzuki DA52T/DB52T parts","https://yokohamamotors.net/page63.html",shortlisted,"Can they quote body/bed hardware and manuals for a reference donor generation?","Yokohama also lists DA62T/DA63T parts."
95,Parts suppliers,Kei supplier,General Japanese mini-truck parts source,1 source,"Parts across Suzuki, Daihatsu, Honda, Subaru, Mitsubishi","Use as cross-model availability check","Yokohama Motors main site","https://yokohamamotors.net/",shortlisted,"Which models have the broadest new OEM/aftermarket body and mechanical part support?","Claims long-running JDM mini-truck parts export experience."
96,Parts suppliers,Kei supplier,North American kei parts/accessories source,1 source,"Body, glass, accessories, upgrades, mirrors","Use for U.S. shipping and practical replacement-part availability","Minitrucks.net parts","https://minitrucks.net/collections/parts",discovered,"Which products are OEM replacement versus accessory/off-road only?","Good source for body/glass and accessory categories."
97,Parts suppliers,Kei supplier,Canadian/US kei parts source,1 source,"Suzuki lighting, steering, body and bed hardware","Use for visible pricing and fitment notes","Mini4x4.ca store","https://mini4x4.ca/store/en",shortlisted,"Can they provide bulk quote and fitment drawings for bed/lamp/steering components?","Useful for blinkers, tail lamps, latches, hinges, and steering pieces."
98,Parts suppliers,Kei supplier,Mini-truck brakes/suspension source,1 source,"Brakes, lift kits, bumpers, filters, belts, suspension","Use for wear part availability cross-check","Gold Star Parts","https://www.goldstarparts.com/",discovered,"Which brake/suspension parts are highway appropriate versus off-road only?","Watch supplier off-road disclaimers."
99,Parts suppliers,Industrial supplier,Hardware and standard parts source,1 source,"Fasteners, hinges, latches, seals, tubing, fittings","Use for repeatable non-automotive standard hardware","McMaster-Carr","https://www.mcmaster.com/",shortlisted,"Which parts have adequate material, load, corrosion, and temperature ratings?","Excellent for prototypes, but not a substitute for automotive validation."
100,Parts suppliers,Truck-body supplier,Truck/trailer lighting and hardware source,1 source,"Hinges, latches, stake hardware, DOT lamps","Use for bed hardware and lighting standards","Buyers Products","https://www.buyersproducts.com/",shortlisted,"Can product drawings/CAD and load ratings be attached to BOM items?","Good fit for work-truck bed hardware."
101,Powertrain,Traction drive,Nissan Leaf EM57 drive unit,1,"80 kW/254 Nm for 2013-2017 AZE0; later ZE1 units support 110 kW or 160 kW depending inverter/year","Use as primary affordable OEM salvage candidate with Thunderstruck or Resolve-EV control path","Thunderstruck Nissan Leaf Drive System","https://www.thunderstruck-ev.com/nissan-leaf-drive-system-used.html",shortlisted,"Which Leaf generation gives best cost, control support, voltage compatibility, and rear/IRS packaging for the kei truck?","Strongest current practical alternative to Bosch because motor, inverter, reduction drive, differential, and VCU support can be sourced as a system."
102,Powertrain,Traction drive,Chevrolet Bolt EV drive unit,1,"150 kW/360 Nm, permanent-magnet drive unit, ~350V-class donor vehicle","Use as high-power salvage alternate only after controller path is proven","GM Authority Chevrolet Bolt EV specs","https://gmauthority.com/blog/gm/chevrolet/bolt-ev/2021-chevrolet-bolt-ev/",alternate,"Is there a repeatable controller/inverter path, and can the drive unit be packaged without overpowering the reference truck?","Attractive power-per-dollar, but currently less boring/repeatable than Leaf for open-source conversion."
103,Powertrain,Traction drive,NetGain HyPer 9 HV kit,1,"144V-class SRIPM kit; ~38-39 kW 60-min, ~90-95 kW 2-min peak","Use as lower-voltage DIY alternate if the project creates a reduced-power mule branch","NetGain HyPer 9 official specs","https://www.go-ev.com/motors-hyper.html",alternate,"Would a 90-180V architecture be accepted for a prototype, or does it conflict too much with the 300-430V battery target?","Good DIY ecosystem and regen support, but lower continuous power and lower voltage than the current reference architecture."
104,Powertrain,Traction drive,HPEVS AC-50 / AC-51 kit,1,"72-144V AC kit family; AC-50 listed at 71 hp / 120 ft-lb","Use as lightweight low-voltage mule candidate, not full reference truck","HPEVS AC-50/AC-51 motor systems","https://www.hpevs.com/hpevs-ac-electric-motors-ac50-ac51-for-automotive-mining-utility-ground-support-vehicles.htm",prototype-only,"What reduced vehicle mass, speed, grade, and payload assumptions would make AC-50/AC-51 acceptable?","Useful for very low-speed/simple prototype work; likely below full utility-truck target."
105,Powertrain,Traction drive,NetGain WarP 9 brushed DC motor,1,"Series-wound brushed DC; listed 32 hp, 70 ft-lb, 5500 rpm, 165 lb","Keep as DC-motor comparison/prototype-only candidate","Thunderstruck NetGain WarP 9 listing","https://www.thunderstruck-ev.com/warp-9-en.html",prototype-only,"Is brushed DC ever acceptable for a repo branch, and what safety/maintenance caveats must be documented?","Real and purchasable, but not up to the main reference architecture: brushes, high current, lower voltage, limited regen/control polish."
106,Powertrain,Traction drive,D&D ES-31B brushed DC motor,1,"72-120V series DC motor for small/medium cars; reseller claims up to 62 hp peak with 120V/550A controller","Keep as budget brushed-DC comparison only","D&D Motor Systems ES-31B listing","https://ddmotorsystems.com/ChooseAMotorPage3.php?Checkout=YES&From=CrossRefList&Item=Motor&Market=Golf_Cart&Motor=170-015-0004&RecID=527&optTarget=ES-31B&optType=Motor",prototype-only,"Can it meet even a reduced kei-truck payload/speed requirement without excessive heat/current?","Better understood as a low-speed/low-cost DC baseline than a serious full-truck candidate."
